country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
PRT,Portugal,Valorsul (Central de Tratamento de Resíduos),WRI1022585,50.6,38.8277,-9.0826,Waste,,,,1998.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,187.7344461305008
PRT,Portugal,Valorsul (Central de Valorização Orgânica),WRI1022555,1.7,38.7834,-9.2405,Waste,,,,2005.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,6.307283763277694
PRT,Portugal,Varosa,WRI1022570,25.0,41.1208,-7.7761,Hydro,,,,1934.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,148.63518629209014
PRT,Portugal,Velada,WRI1022816,1.9,39.5914,-7.7092,Hydro,,,,1935.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,11.29627415819885
PRT,Portugal,Venda Nova,WRI1022560,90.0,41.6794,-7.9823,Hydro,,,,1951.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,535.0866706515245
PRT,Portugal,Vergão,WRI1022485,13.0,39.7553,-7.9897,Wind,,,,2003.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,31.856027420265345
PRT,Portugal,Viana do Castelo (Aterro Sanitário),WRI1022556,2.0,41.6467,-8.7682,Waste,,,,2010.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,7.420333839150229
PRT,Portugal,Videira,WRI1022486,6.0,39.8729,-8.4022,Wind,,,,2005.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,14.702781886276314
PRT,Portugal,Vidual,WRI1022487,1.0,40.1291,-7.7945,Wind,,,,2006.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,2.450463647712719
PRT,Portugal,Vila Cova,WRI1022578,23.4,40.3797,-7.7283,Hydro,,,,2001.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,139.12253436939636
PRT,Portugal,Vila Cova,WRI1022488,34.5,41.3150,-7.8975,Wind,,,,2014.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,84.5409958460888
PRT,Portugal,Vila Franca de Xira,WRI1022491,12.6,38.8903,-9.1181,Wind,,,,2009.0,,Energias Endogenas de Portugal,http://e2p.inegi.up.pt/index.asp,Energias Endogenas de Portugal,,,,,,30.875841961180257
